Concurso;Jogo;Mandante;Visitante;Data;1;X;2;Odds_1;Odds_X;Odds_2
1225;12;GENOA;ATALANTA BERGAMAS;Domingo;0;0;1;3,95;3,3;2,11
1225;13;REAL BETIS;GETAFE;Domingo;1;0;0;1,79;3,45;5,7
1225;14;LYON;SAINT C COLLONGES;Domingo;1;0;0;1,03;35;150
1224;1;CORINTHIANS/SP;CRUZEIRO/MG;Domingo;0;0;1;2,3;3,2;3,1
1224;2;ARSENAL;WOLVES;Sábado;1;0;0;1,14;7;21
1224;3;ATALANTA BERGAMAS;CAGLIARI CALCIO;Sábado;1;0;0;1,3;4,75;10
1224;4;GETAFE;ESPANYOL;Sábado;0;0;1;2,45;2,87;3,2
1224;5;CRYSTAL PALACE;MANCHESTER CITY;Domingo;0;0;1;3,9;3,6;1,85
1224;6;NOTTINGHAM FOREST;TOTTENHAM;Domingo;1;0;0;2,5;3,3;2,7
1224;7;WEST HAM;ASTON VILLA;Domingo;0;0;1;3,5;3,5;2
1224;8;FIORENTINA;VERONA;Domingo;0;0;1;1,83;3,3;4,5
1224;9;UDINESE;NAPOLI;Domingo;1;0;0;4,2;3,4;1,9
1224;10;CELTA DE VIGO;ATHLETIC BILBAO;Domingo;1;0;0;2,55;3,1;2,75
1224;11;GENOA;INTER DE MILAO;Domingo;0;0;1;6,5;4,1;1,53
1224;12;FLUMINENSE/RJ;VASCO DA GAMA/RJ;Domingo;1;0;0;2,05;3,3;3,6
1224;13;BOLOGNA;JUVENTUS;Domingo;0;0;1;2,8;3,25;2,55
1224;14;DEPORTIVO ALAVES;REAL MADRID;Domingo;0;0;1;5,5;3,9;1,55
1223;1;MIRASSOL/SP;FLAMENGO/RJ;Domingo;0;1;0;1,28;5,25;10
1223;2;BRIGHTON;WEST HAM;Domingo;0;1;0;1,53;4,33;5,75
1223;3;ATLETICO/MG;VASCO DA GAMA/RJ;Domingo;1;0;0;1,65;3,75;5,25
1223;4;BOTAFOGO/RJ;FORTALEZA/CE;Domingo;1;0;0;2;3,6;3,6
1223;5;CEARA/CE;PALMEIRAS/SP;Domingo;0;0;1;2,35;3,25;3,1
1223;6;CORINTHIANS/SP;JUVENTUDE/RS;Domingo;0;1;0;1,55;3,9;6,5
1223;7;FLUMINENSE/RJ;BAHIA/BA;Domingo;1;0;0;1,72;3,6;5
1223;8;INTERNACIONAL/RS;BRAGANTINO/SP;Domingo;1;0;0;1,72;3,6;5
1223;9;VALENCIA CLUB;SEVILLA;Domingo;0;1;0;2,15;3,4;3,4
1223;10;SANTOS/SP;CRUZEIRO/MG;Domingo;1;0;0;1,42;4,2;8
1223;11;SPORT/PE;GREMIO/RS;Domingo;0;0;1;4,75;3,8;1,75
1223;12;VITORIA/BA;SAO PAULO/SP;Domingo;1;0;0;1,9;3,25;4,5
1223;13;FULHAM;CRYSTAL PALACE;Domingo;0;0;1;2,6;3,3;2,75
1223;14;ESPANYOL;RAYO VALLECANO;Domingo;1;0;0;2,25;3,4;3,2
1222;1;PALMEIRAS/SP;FLAMENGO/RJ;Sábado;0;0;1;3,5;2,87;2,35
1222;2;VITORIA/BA;MIRASSOL/SP;Sábado;1;0;0;2,4;3,2;3,1
1222;3;TOTTENHAM;FULHAM;Sábado;0;0;1;2,2;3,3;3,25
1222;4;CEARA/CE;CRUZEIRO/MG;Sábado;0;1;0;2,9;3,3;2,4
1222;5;CRYSTAL PALACE;MANCHESTER UNITED;Domingo;0;0;1;2,25;3,4;3,2
1222;6;REAL SOCIEDAD;VILLARREAL;Domingo;0;0;1;2,8;3,4;2,45
1222;7;ASTON VILLA;WOLVES;Domingo;1;0;0;1,5;4,33;6,25
1222;8;NOTTINGHAM FOREST;BRIGHTON;Domingo;0;0;1;2,7;3,3;2,62
1222;9;WEST HAM;LIVERPOOL;Domingo;0;0;1;4,1;4,2;1,72
1222;10;CORINTHIANS/SP;BOTAFOGO/RJ;Domingo;0;1;0;2,5;3,2;2,9
1222;11;SEVILLA;REAL BETIS;Domingo;0;0;1;3;3,25;2,4
1222;12;CHELSEA;ARSENAL;Domingo;0;1;0;3,4;3,25;2,25
1222;13;FORTALEZA/CE;ATLETICO/MG;Domingo;1;0;0;2,35;3,1;3,3
1222;14;GIRONA;REAL MADRID;Domingo;0;1;0;6;5;1,45
1221;1;FLAMENGO/RJ;BRAGANTINO/SP;Sábado;1;0;0;1,3;5;11
1221;2;PALMEIRAS/SP;FLUMINENSE/RJ;Sábado;0;1;0;1,55;3,8;6,25
1221;3;SAO PAULO/SP;JUVENTUDE/RS;Domingo;1;0;0;1,53;3,7;7
1221;4;AMAZONAS/AM;CORITIBA/PR;Domingo;0;0;1;3,6;3,2;2,1
1221;5;ATHLETIC CLUB/MG;PAYSANDU/PA;Domingo;1;0;0;1,5;4,1;6,25
1221;6;ATHLETICO/PR;AMERICA/MG;Domingo;1;0;0;1,45;4;7,5
1221;7;BOTAFOGO/SP;AVAI/SC;Domingo;0;1;0;1,66;3,6;5,25
1221;8;CHAPECOENSE/SC;ATLETICO/GO;Domingo;1;0;0;1,33;4,75;10
1221;9;CUIABA/MT;CRICIUMA/SC;Domingo;1;0;0;3,4;3;2,25
1221;10;NOVORIZONTINO/SP;CRB/AL;Domingo;1;0;0;2,2;3,25;3,4
1221;11;OPERARIO/PR;FERROVIARIA/SP;Domingo;1;0;0;2,62;3,1;2,75
1221;12;REMO/PA;GOIAS/GO;Domingo;1;0;0;2,3;3,25;3,1
1221;13;SPORT/PE;VITORIA/BA;Domingo;0;0;1;3,4;3,3;2,2
1221;14;CRUZEIRO/MG;CORINTHIANS/SP;Domingo;1;0;0;1,8;3,5;4,75
1220;1;SANTOS/SP;PALMEIRAS/SP;Sábado;1;0;0;3,2;3,4;2,25
1220;2;VOLTA REDONDA/RJ;CHAPECOENSE/SC;Sábado;0;1;0;6;3,75;1,6
1220;3;SPORT/PE;FLAMENGO/RJ;Sábado;0;0;1;9;5;1,36
1220;4;BOSNIA HERZEGOVIN;ROMENIA;Sábado;1;0;0;2,6;3,2;2,87
1220;5;SUICA;SUECIA;Sábado;1;0;0;1,53;4,2;6
1220;6;GRECIA;ESCOCIA/SCT;Sábado;1;0;0;2,2;3,3;3,4
1220;7;HUNGRIA;IRLANDA;Domingo;0;0;1;1,83;3,7;4
1220;8;FERROVIARIA/SP;ATHLETICO/PR;Domingo;0;0;1;4,2;3,3;1,9
1220;9;GOIAS/GO;NOVORIZONTINO/SP;Domingo;1;0;0;2,1;3,1;3,8
1220;10;ALBANIA;INGLATERRA;Domingo;0;0;1;8;4,5;1,4
1220;11;SERVIA/SER;LETONIA;Domingo;1;0;0;1,2;6;15
1220;12;ITALIA;NORUEGA;Domingo;0;0;1;2;3,7;3,4
1220;13;BRAGANTINO/SP;ATLETICO/MG;Domingo;1;0;0;2,15;3,1;3,8
1220;14;UCRANIA;ISLANDIA;Domingo;1;0;0;1,7;3,6;5
1219;1;MIRASSOL/SP;PALMEIRAS/SP;Domingo;1;0;0;4;3,4;1,95
1219;2;SPORT/PE;ATLETICO/MG;Sábado;0;0;1;4;3,2;2
1219;3;VASCO DA GAMA/RJ;JUVENTUDE/RS;Sábado;0;0;1;1,48;4,33;6,5
1219;4;INTERNACIONAL/RS;BAHIA/BA;Sábado;0;1;0;2,25;3,2;3,4
1219;5;SAO PAULO/SP;BRAGANTINO/SP;Sábado;0;0;1;1,75;3,4;5,25
1219;6;CHELSEA;WOLVES;Sábado;1;0;0;1,4;4,75;7,5
1219;7;PARMA;MILAN;Sábado;0;1;0;6;4,1;1,53
1219;8;CORINTHIANS/SP;CEARA/CE;Domingo;0;0;1;1,7;3,4;6
1219;9;VITORIA/BA;BOTAFOGO/RJ;Domingo;0;1;0;3;3,2;2,3
1219;10;CRUZEIRO/MG;FLUMINENSE/RJ;Domingo;0;1;0;1,85;3,2;5
1219;11;MANCHESTER CITY;LIVERPOOL;Domingo;1;0;0;1,9;3,9;3,7
1219;12;FLAMENGO/RJ;SANTOS/SP;Domingo;1;0;0;1,3;5;11
1219;13;VALENCIA CLUB;REAL BETIS;Domingo;0;1;0;3,3;3,4;2,2
1219;14;FORTALEZA/CE;GREMIO/RS;Domingo;0;1;0;2,05;3,4;3,7
1218;1;CORINTHIANS/SP;GREMIO/RS;Domingo;1;0;0;1,75;3,75;4,5
1218;2;SANTOS/SP;FORTALEZA/CE;Sábado;0;1;0;1,66;3,7;5,25
1218;3;CRUZEIRO/MG;VITORIA/BA;Sábado;1;0;0;1,42;4,33;8
1218;4;GOIAS/GO;ATHLETICO/PR;Sábado;0;0;1;2,62;3,1;2,75
1218;5;MIRASSOL/SP;BOTAFOGO/RJ;Sábado;0;1;0;2,35;3,3;3,1
1218;6;AVAI/SC;ATHLETIC CLUB/MG;Sábado;1;0;0;1,85;3,25;4,5
1218;7;FLAMENGO/RJ;SPORT/PE;Sábado;1;0;0;1,15;7,5;19
1218;8;BAHIA/BA;BRAGANTINO/SP;Domingo;1;0;0;1,7;3,6;5,25
1218;9;CEARA/CE;FLUMINENSE/RJ;Domingo;1;0;0;3,1;3;2,55
1218;10;JUVENTUDE/RS;PALMEIRAS/SP;Domingo;0;0;1;7;3,9;1,53
1218;11;INTERNACIONAL/RS;ATLETICO/MG;Domingo;0;1;0;2,05;3,2;4
1218;12;REMO/PA;CHAPECOENSE/SC;Domingo;0;1;0;2,05;3,4;3,7
1218;13;VASCO DA GAMA/RJ;SAO PAULO/SP;Domingo;0;0;1;2,25;3,2;3,3
1218;14;OPERARIO/PR;VILA NOVA/GO;Domingo;0;1;0;2,25;2,9;3,7
1217;1;PALMEIRAS/SP;CRUZEIRO/MG;Domingo;0;1;0;1,75;3,75;4,75
1217;2;ATLETICO/MG;CEARA/CE;Sábado;1;0;0;1,9;3,5;4
1217;3;VITORIA/BA;CORINTHIANS/SP;Sábado;0;0;1;2,55;3,1;2,9
1217;4;ATHLETIC CLUB/MG;AMERICA/MG;Sábado;0;0;1;2,4;3,1;3
1217;5;FLUMINENSE/RJ;INTERNACIONAL/RS;Sábado;1;0;0;1,83;3,25;5
1217;6;SPORT/PE;MIRASSOL/SP;Sábado;0;0;1;2,9;3,4;2,4
