Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3;pred_top1;pred_top2;pred_top3;hit_rank;p_top1;p_top2;p_top3
1122;10;VASCO DA GAMA/RJ;FLAMENGO/RJ;Domingo;0;0;1;0,219287559;0,253204035;0,527508406;0,527508406;0,253204035;0,219287559;1;0;0;2;X;1;1;0.527508;0.253204;0.219288
1122;11;CHAPECOENSE/SC;VILA NOVA/GO;Domingo;0;1;0;0,41585886;0,294300116;0,289841024;0,41585886;0,294300116;0,289841024;0;1;0;1;X;2;2;0.415859;0.294300;0.289841
1122;12;FORTALEZA/CE;ATHLETICO/PR;Domingo;1;0;0;0,435045317;0,299093656;0,265861027;0,435045317;0,299093656;0,265861027;1;0;0;1;X;2;1;0.435045;0.299094;0.265861
1122;13;SAO PAULO/SP;CRUZEIRO/MG;Domingo;1;0;0;0,543066821;0,256855929;0,20007725;0,543066821;0,256855929;0,20007725;1;0;0;1;X;2;1;0.543067;0.256856;0.200077
1122;14;ITUANO/SP;AVAI/SC;Domingo;0;0;1;0,357412376;0,302071105;0,340516519;0,357412376;0,340516519;0,302071105;0;1;0;1;2;X;2;0.357412;0.340517;0.302071
1123;1;FORTALEZA/CE;CRB/AL;Domingo;1;0;0;0,66504517;0,214037526;0,120917304;0,66504517;0,214037526;0,120917304;1;0;0;1;X;2;1;0.665045;0.214038;0.120917
1123;2;PORTUGAL;FINLANDIA;Domingo;1;0;0;0,807195572;0,131457565;0,061346863;0,807195572;0,131457565;0,061346863;1;0;0;1;X;2;1;0.807196;0.131458;0.061347
1123;3;ITALIA;TURQUIA;Domingo;0;1;0;0,610833365;0,239634628;0,149532008;0,610833365;0,239634628;0,149532008;0;1;0;1;X;2;2;0.610833;0.239635;0.149532
1123;4;MIRASSOL/SP;GUARANI/SP;Domingo;1;0;0;0,52238806;0,268656716;0,208955224;0,52238806;0,268656716;0,208955224;1;0;0;1;X;2;1;0.522388;0.268657;0.208955
1123;5;HUACHIPATO;GREMIO/RS;Domingo;0;0;1;0,27111196;0,287542988;0,441345052;0,441345052;0,287542988;0,27111196;1;0;0;2;X;1;1;0.441345;0.287543;0.271112
1123;6;TOMAYAPO;INTERNACIONAL/RS;Domingo;0;0;1;0,055555556;0,157407407;0,787037037;0,787037037;0,157407407;0,055555556;1;0;0;2;X;1;1;0.787037;0.157407;0.055556
1123;7;PAYSANDU/PA;AMERICA/MG;Domingo;1;0;0;0,32764471;0,313446772;0,358908518;0,358908518;0,32764471;0,313446772;0;1;0;2;1;X;2;0.358909;0.327645;0.313447
1123;8;DINAMARCA;SUECIA;Domingo;1;0;0;0,501168434;0,272694589;0,226136976;0,501168434;0,272694589;0,226136976;1;0;0;1;X;2;1;0.501168;0.272695;0.226137
1123;9;BELGICA;MONTENEGRO;Domingo;1;0;0;0,751066856;0,170697013;0,078236131;0,751066856;0,170697013;0,078236131;1;0;0;1;X;2;1;0.751067;0.170697;0.078236
1123;10;FRANCA;LUXEMBURGO;Domingo;1;0;0;0,926498573;0,050225975;0,023275452;0,926498573;0,050225975;0,023275452;1;0;0;1;X;2;1;0.926499;0.050226;0.023275
1123;11;ESPANHA;ANDORRA;Domingo;1;0;0;0,948837919;0,036858704;0,014303378;0,948837919;0,036858704;0,014303378;1;0;0;1;X;2;1;0.948838;0.036859;0.014303
1123;12;JUVENTUDE/RS;ATLETICO/GO;Domingo;1;0;0;0,462816018;0,28750692;0,249677062;0,462816018;0,28750692;0,249677062;1;0;0;1;X;2;1;0.462816;0.287507;0.249677
1123;13;CUIABA/MT;VITORIA/BA;Domingo;0;1;0;0,452717796;0,297096054;0,25018615;0,452717796;0,297096054;0,25018615;0;1;0;1;X;2;2;0.452718;0.297096;0.250186
1123;14;MEXICO;URUGUAI;Domingo;0;0;1;0,347003155;0,312302839;0,340694006;0,347003155;0,340694006;0,312302839;0;1;0;1;2;X;2;0.347003;0.340694;0.312303
1124;1;MEXICO;BRASIL;Domingo;0;0;1;0,167510606;0,230327084;0,60216231;0,60216231;0,230327084;0,167510606;1;0;0;2;X;1;1;0.602162;0.230327;0.167511
1124;2;BELGICA;LUXEMBURGO;Domingo;1;0;0;0,882678473;0,085058107;0,03226342;0,882678473;0,085058107;0,03226342;1;0;0;1;X;2;1;0.882678;0.085058;0.032263
1124;3;AMAZONAS/AM;BRUSQUE/SC;Domingo;1;0;0;0,479619814;0,292268324;0,228111863;0,479619814;0,292268324;0,228111863;1;0;0;1;X;2;1;0.479620;0.292268;0.228112
1124;4;GUARANI/SP;OPERARIO/PR;Domingo;0;0;1;0,401213347;0,304145602;0,294641052;0,401213347;0,304145602;0,294641052;0;0;1;1;X;2;3;0.401213;0.304146;0.294641
1124;5;ESTADOS UNIDOS;COLOMBIA;Domingo;0;0;1;0,353093899;0,286888793;0,360017309;0,360017309;0,353093899;0,286888793;1;0;0;2;1;X;1;0.360017;0.353094;0.286889
1124;6;GREMIO/RS;ESTUDIANTES;Domingo;0;1;0;0,621470933;0,226392983;0,152136084;0,621470933;0,226392983;0,152136084;0;1;0;1;X;2;2;0.621471;0.226393;0.152136
