Concurso;Jogo;Gols_Home;Mandante;Visitante;Gols_Away;Mando;[1];[x];[2];Odds 1;Odds X;Odds 2;Home_Last5_Home;Away_Last5_Away;P(1);P(X);P(2);Resultado;Form_Diff_Last5;Is_Home;Home_Fav;Market_Signal;Market_vs_Form;Prob_Gap;Market_Pmax;Market_Entropy;Odds_Ratio_1_2;Log_Odds_Ratio_1_2;Home_Prob_Gap
1196;8;10.0;BAYERN DE MUNIQUE/DEU;AUCKLAND CITY/NZ/NZL;0.0;Neutro;1;0;0;1.0;29.0;41.0;0.0;0.0;0.9444003177124701;0.032565528196981726;0.023034154090548053;1;0.0;0;0;1;0.0;0.9118347895154884;0.9444003177124701;0.25240189586339096;0.024390243902439025;-3.713572066704308;0.0
1196;9;3.0;NOVORIZONTINO/SP;CUIABA/MT;0.0;Mandante;1;0;0;1.95;2.9;4.75;0.0;0.0;0.48009061601463804;0.32281955214777386;0.19708983183758821;1;0.0;1;1;1;0.0;0.15727106386686418;0.48009061601463804;1.0373735558628279;0.4105263157894737;-0.8903152454708944;0.15727106386686418
1196;10;4.0;PSG/FRA;ATLETICO MADRID/ESP;0.0;Neutro;1;0;0;1.83;3.8;3.9;0.0;0.0;0.5126076579848501;0.2468610563453357;0.24053128566981433;1;0.0;0;0;1;0.0;0.26574660163951436;0.5126076579848501;1.030622764915399;0.4692307692307693;-0.7566605862822711;0.0
1196;11;0.0;ATLETICO/GO;CORITIBA/PR;0.0;Mandante;0;1;0;2.3;3.0;3.4;0.0;0.0;0.40930979133226325;0.3138041733547351;0.2768860353130016;X;0.0;1;1;1;0.0;0.09550561797752816;0.40930979133226325;1.0848871584593835;0.676470588235294;-0.39086630868701183;0.09550561797752816
1196;12;1.0;YPIRANGA/RS;CONFIANCA/SE;0.0;Mandante;1;0;0;2.0;3.0;3.8;0.0;0.0;0.45600000000000007;0.30400000000000005;0.24000000000000002;1;0.0;1;1;1;0.0;0.15200000000000002;0.45600000000000007;1.0625687950140077;0.5263157894736842;-0.6418538861723948;0.15200000000000002
1196;13;3.0;CRICIUMA/SC;AMAZONAS/AM;2.0;Mandante;1;0;0;1.7;3.2;5.25;0.0;0.0;0.5390662602278198;0.2863789507460292;0.17455478902615112;1;0.0;1;1;1;0.0;0.2526873094817906;0.5390662602278198;0.995885880201058;0.3238095238095238;-1.127599825541362;0.2526873094817906
1196;14;2.0;BOTAFOGO/RJ;SEATTLE SOUNDERS/USA;0.0;Neutro;1;0;0;2.0;3.6;3.6;0.0;0.0;0.47368421052631576;0.2631578947368421;0.2631578947368421;1;0.0;0;0;1;0.0;0.21052631578947367;0.47368421052631576;1.0565758044102838;0.5555555555555556;-0.587786664902119;0.0
1195;1;1.0;BRASIL;PARAGUAI;0.0;Mandante;1;0;0;1.38;4.1;7.0;0.0;0.0;0.6520059975464584;0.21945567722295425;0.12853832523058747;1;0.0;1;1;1;0.0;0.43255032032350416;0.6520059975464584;0.8753915258839282;0.19714285714285712;-1.6238266498862002;0.43255032032350416
1195;2;2.0;FINLANDIA;POLONIA;1.0;Mandante;1;0;0;4.5;3.4;1.85;0.0;0.0;0.21026241016212607;0.2782884840381081;0.5114491057997661;1;0.0;1;0;-1;-0.0;0.23316062176165803;0.5114491057997661;1.0267712525526849;2.4324324324324325;0.8888917576860407;0.23316062176165803
1195;3;3.0;SERVIA/SER;ANDORRA;0.0;Mandante;1;0;0;1.04;17.0;41.0;0.0;0.0;0.920350710399831;0.05630380816563672;0.0233454814345323;1;0.0;1;1;1;0.0;0.8640469022341942;0.920350710399831;0.3260924010384602;0.025365853658536587;-3.6743513535510264;0.8640469022341942
1195;4;8.0;HOLANDA;MALTA;0.0;Mandante;1;0;0;1.03;17.0;41.0;0.0;0.0;0.9210561090995586;0.05580516425720855;0.023138726643232813;1;0.0;1;1;1;0.0;0.86525094484235;0.9210561090995586;0.32393610075317736;0.025121951219512197;-3.6840132644627634;0.86525094484235
1195;5;2.0;BOLIVIA;CHILE;0.0;Mandante;1;0;0;1.55;4.1;6.0;0.0;0.0;0.6111042106570612;0.23102720158986464;0.15786858775307416;1;0.0;1;1;1;0.0;0.38007700906719655;0.6111042106570612;0.9308911885319847;0.25833333333333336;-1.3535045382968995;0.38007700906719655
